city,venue_id,event_type,start_date,artist,artist_id
Floirac,arkea-arena---bordeaux-53144,Concert,2026-03-11T20:00:00,JEREMY FREROT,jeremy-frerot-110447
Floirac,arkea-arena---bordeaux-53144,Concert,2026-03-12T00:00:00,THE WORLD OF QUEEN,the-world-of-queen-12569
Floirac,arkea-arena---bordeaux-53144,Concert,2026-03-14T20:00:00,PARADES,parades-13847
Floirac,arkea-arena---bordeaux-53144,Concert,2026-03-17T20:00:00,LARA FABIAN,lara-fabian-7137
Floirac,arkea-arena---bordeaux-53144,Concert,2026-03-26T20:00:00,COMPAGNIE BEJART BALLET LAUSANNE,compagnie-bejart-ballet-lausanne-99028
Floirac,arkea-arena---bordeaux-53144,Concert,2026-05-22T20:00:00,LES ANNEES 80 - LA TOURNEE,les-annees-80---la-tournee-67227
Floirac,arkea-arena---bordeaux-53144,Concert,2026-06-02T20:00:00,BLACK LEGENDS - LE PLUS GRAND HOMMAGE A LA MUSIQUE AFRO-AMERICAINE,black-legends---le-plus-grand-hommage-a-la-musique-afro-americaine-196349
Floirac,arkea-arena---bordeaux-53144,Concert,2026-06-13T15:00:00,LE ROI SOLEIL,le-roi-soleil-29703
Floirac,arkea-arena---bordeaux-53144,Concert,2026-06-13T20:30:00,LE ROI SOLEIL,le-roi-soleil-29703
Floirac,arkea-arena---bordeaux-53144,Concert,2026-06-26T20:00:00,THE JEFF PANACLOC COMPANY,the-jeff-panacloc-company-38172
Floirac,arkea-arena---bordeaux-53144,Concert,2018-12-22T20:00:00,MC SOLAAR,mc-solaar-5267
Floirac,arkea-arena---bordeaux-53144,Concert,2018-12-19T20:00:00,MARC LAVOINE,marc-lavoine-6152
Floirac,arkea-arena---bordeaux-53144,Concert,2018-12-08T20:00:00,JULIEN CLERC,julien-clerc-5405
Floirac,arkea-arena---bordeaux-53144,Concert,2018-12-06T20:00:00,GIMS,gims-83199
Floirac,arkea-arena---bordeaux-53144,Concert,2018-12-05T20:00:00,CHRISTINE AND THE QUEENS,christine-and-the-queens-99188
Floirac,arkea-arena---bordeaux-53144,Concert,2018-12-01T20:00:00,DAMSO,damso-153678
Floirac,arkea-arena---bordeaux-53144,Concert,2018-11-30T20:00:00,ORELSAN,orelsan-57017
Floirac,arkea-arena---bordeaux-53144,Concert,2018-11-29T20:00:00,LES CONTES D'HOFFMANN (Le Ballet et l’Orchestre de l’Opera National de Russie),les-contes-dhoffmann-le-ballet-et-lorchestre-de-lopera-national-de-russie-162199
Floirac,arkea-arena---bordeaux-53144,Concert,2018-11-27T20:00:00,BENABAR,benabar-7603
Floirac,arkea-arena---bordeaux-53144,Concert,2018-11-25T20:00:00,BIGFLO ET OLI,bigflo-et-oli-104536
Floirac,arkea-arena---bordeaux-53144,Concert,2018-11-21T20:00:00,STARS 80 - TRIOMPHE,stars-80---triomphe-166511
