venue_id,venue_name
la-taupiniere-a-bordeaux-55024,LA TAUPINIERE A BORDEAUX(33)
la-plage-a-bordeaux-42528,LA PLAGE A BORDEAUX(33)
purgatory-a-bordeaux-69485,PURGATORY A BORDEAUX(33)
le-cafe-des-moines-a-bordeaux-32381,LE CAFE DES MOINES A BORDEAUX(33)
chapelle-du-crous-a-bordeaux-49500,CHAPELLE DU CROUS A BORDEAUX(33)
basilique-saint-seurin-a-bordeaux-16322,BASILIQUE SAINT SEURIN A BORDEAUX(33)
why-not-a-bordeaux-38698,WHY NOT A BORDEAUX(33)
chez-pip--maison-pip-a-bordeaux-57262,CHEZ PIP / MAISON PIP A BORDEAUX(33)
le-balthazar-industrie-a-bordeaux-26940,LE BALTHAZAR INDUSTRIE A BORDEAUX(33)
agence-2e2f-a-bordeaux-44496,AGENCE 2E2F A BORDEAUX(33)
palais-des-sports-de-bordeaux-1156,PALAIS DES SPORTS DE BORDEAUX(33)
place-du-palais-a-bordeaux-34605,PLACE DU PALAIS A BORDEAUX(33)
levrette-cafe-a-bordeaux-74725,LEVRETTE CAFE A BORDEAUX(33)
quartier-libre-a-bordeaux-52423,QUARTIER LIBRE A BORDEAUX(33)
cathedrale-saint-andre-a-bordeaux-20597,CATHEDRALE SAINT ANDRE A BORDEAUX(33)
la-tour-des-chartrons-a-bordeaux-41193,LA TOUR DES CHARTRONS A BORDEAUX(33)
grand-hotel-bordeaux-62207,GRAND HOTEL BORDEAUX(33)
le-santosha-a-bordeaux-29969,LE SANTOSHA A BORDEAUX(33)
blackroom-a-bordeaux-46453,BLACKROOM A BORDEAUX(33)
capc-musee-dart-contemporain-de-bordeaux-11564,CAPC MUSEE D'ART CONTEMPORAIN DE BORDEAUX(33)
total-heaven-a-bordeaux-37055,TOTAL HEAVEN A BORDEAUX(33)
pauls-place-bordeaux-55095,PAUL'S PLACE BORDEAUX(33)
shine-club---fabrick--skandalo-a-bordeaux-23746,SHINE CLUB /  FABRICK / SKANDALO A BORDEAUX(33)
harmonia-mundi-a-bordeaux-42615,HARMONIA MUNDI A BORDEAUX(33)
gargalou-a-bordeaux-69593,GARGALOU A BORDEAUX(33)
le-sqar-a-bordeaux-32593,LE SQAR A BORDEAUX(33)
rubis-club-a-bordeaux-49839,RUBIS CLUB A BORDEAUX(33)
scene-du-miroir-deau-a-bordeaux-38790,SCENE DU MIROIR D'EAU A BORDEAUX(33)
gare-de-bordeaux-saint-jean-57771,GARE DE BORDEAUX SAINT-JEAN(33)
cafe-maritime-a-bordeaux-26992,CAFE MARITIME A BORDEAUX(33)
respublica-a-bordeaux-44595,RESPUBLICA A BORDEAUX(33)
lusine-de-bordeaux-1250,L'USINE DE BORDEAUX(33)
lantidote-a-bordeaux-34843,L'ANTIDOTE A BORDEAUX(33)
union-saint-bruno-a-bordeaux-74731,UNION SAINT BRUNO A BORDEAUX(33)
bar-tabac-bt-st-michel-a-bordeaux-52523,BAR TABAC (BT) ST-MICHEL A BORDEAUX(33)
le-glob-theatre-a-bordeaux-21564,LE GLOB THEATRE A BORDEAUX(33)
le-wunderbar-a-bordeaux-41250,LE WUNDERBAR A BORDEAUX(33)
institut-culturel-bernard-magrez-a-bordeaux-62221,INSTITUT CULTUREL BERNARD MAGREZ A BORDEAUX(33)
place-fernand-lafargue-a-bordeaux-29970,PLACE FERNAND LAFARGUE A BORDEAUX(33)
place-dormoy-a-bordeaux-46800,PLACE DORMOY A BORDEAUX(33)
novo-local-a-bordeaux-37136,NOVO LOCAL A BORDEAUX(33)
le-fridge-a-bordeaux-55117,LE FRIDGE A BORDEAUX(33)
place-de-la-victoire-a-bordeaux-23991,PLACE DE LA VICTOIRE A BORDEAUX(33)
cock-and-bull-a-bordeaux-42661,COCK AND BULL A BORDEAUX(33)
grizzly-pub-a-bordeaux-69615,GRIZZLY PUB A BORDEAUX(33)
le-funky-burger-a-bordeaux-32594,LE FUNKY BURGER A BORDEAUX(33)
one-club-a-bordeaux-49943,ONE CLUB A BORDEAUX(33)
shadow-lounge-16788,SHADOW LOUNGE & WHITE GARDEN A BORDEAUX(33)
le-chato-a-bordeaux-38806,LE CHATO A BORDEAUX(33)
eglise-saint-pierre--de-bordeaux-57785,EGLISE SAINT-PIERRE  DE BORDEAUX(33)
la-cale-seche-a-bordeaux-27301,LA CALE SECHE A BORDEAUX(33)
hall-de-la-bourse--palais-de-la-bourse-a-bordeaux-44828,HALL DE LA BOURSE / PALAIS DE LA BOURSE A BORDEAUX(33)
le-nautilus-de-bordeaux-4240,LE NAUTILUS DE BORDEAUX(33)
caserne-niel-a-bordeaux-34989,CASERNE NIEL A BORDEAUX(33)
parc-des-berges-a-bordeaux-75155,PARC DES BERGES A BORDEAUX(33)
la-cueva-a-bordeaux-52524,LA CUEVA A BORDEAUX(33)
centre-social-et-danimation-saint-michel-a-bordeaux-21739,CENTRE SOCIAL ET D'ANIMATION SAINT MICHEL A BORDEAUX(33)
