artist_id,artist_name,genre
murray-head-2206,MURRAY HEAD,Rock
forest-drive-west-178113,FOREST DRIVE WEST,Electro
nuances-13961,D'JULZ,Electro
akoda-97099,AKODA,Jazz / Blues
kekra-159019,KEKRA,Hip-Hop/Rap/R'n'B
whiskey-bliss-171481,WHISKEY BLISS,Soul/Funk/Groove
renaud-capucon-53182,RENAUD CAPUCON,Classique
laurent-lamarca-92435,LAURENT LAMARCA,Scène Française
radio-reactive-13793,BOBBY PREVITE,Jazz / Blues
diane-segard-205401,DIANE SEGARD,Humour
jean-louis-aubert-5988,JEAN LOUIS AUBERT,Scène Française
mikhail-pletnev-124595,MIKHAIL PLETNEV,Classique
david-voinson-172146,DAVID VOINSON,Humour
marina-trench-139302,MARINA TRENCH,Dj
maxwell-farrington-160655,MAXWELL FARRINGTON,Rock
muddy-monk-128549,MUDDY MONK,Jazz / Blues
anesthesie-generale-12274,STELLA BY JAZZLIGHT,Jazz / Blues
gazo-186379,GAZO,Hip-Hop/Rap/R'n'B
fair-play-philippe-leygnac--patrice-thibaud-133625,FAIR PLAY (PHILIPPE LEYGNAC / PATRICE THIBAUD),Humour
dj-pierre-39624,DJ PIERRE,Dj
joyaux-201665,JOYAUX,Danse
lhypnose-a-travers-le-temps-13327,SEASON,Jazz / Blues
casse-noisette-ballet-181604,CASSE NOISETTE (Ballet & Orchestre du Bolchoi de Minsk),Spectacle Musical
sahara-146326,SAHARA,Scène Française
la-belle-au-bois-dormant-grand-ballet-de-kiev-185103,LA BELLE AU BOIS DORMANT (Grand Ballet de Kiev),Spectacle Musical
electric-rescue-78412,ELECTRIC RESCUE,Dj
le-lac-des-cygnes-le-ballet-national-ukrainien-dodessa-153591,LE LAC DES CYGNES (Le Ballet National Ukrainien d'Odessa),Danse
-m--matthieu-chedid-6013,-M- (MATTHIEU CHEDID),Scène Française
sound-of-the-shore-180201,SOUND OF THE SHORE,Scène Française
le-lac-des-cygnes-theatre-national-maria-biesu-de-moldavie-ballet-et-orchestre-195015,"LE LAC DES CYGNES (Theatre national Maria Biesu de Moldavie, Ballet et orchestre)",Danse
les-contes-dhoffmann-le-ballet-et-lorchestre-de-lopera-national-de-russie-162199,LES CONTES D'HOFFMANN (Le Ballet et l’Orchestre de l’Opera National de Russie),Classique
maz-111702,MAZ,Scène Française
medine-45584,MEDINE,Hip-Hop/Rap/R'n'B
thibault-cauvin-59773,THIBAULT CAUVIN,Classique
peia-164533,PEIA,Classique
la-favorite-opera-210151,LA FAVORITE (opéra),Classique
spider-zed-170280,SPIDER ZED,Hip-Hop/Rap/R'n'B
mateo-mf-169239,MATEO MF,Scène Française
goldmen-tribute-to-jj-goldman-88611,GOLDMEN (Tribute to J.J Goldman),Variété Française
niska-140832,NISKA,Hip-Hop/Rap/R'n'B
delphine-pillich-207525,DELPHINE PILLICH,Classique
les-mots-simprosent--3923,PIERRE LOUIS GARCIA,Jazz / Blues
feignasse-hyperactive-352,TAYFA,World
mouloud-128325,MOULOUD,Dj
hors-normes-5226,SUPERGRASS,Rock
lydia-filipovic-60900,LYDIA FILIPOVIC,World
stan---et-si-les-oeuvres-darts-pouvaient-parler-101178,STAN - ET SI LES OEUVRES D'ARTS POUVAIENT PARLER,Humour
compagnie-bejart-ballet-lausanne-99028,COMPAGNIE BEJART BALLET LAUSANNE,Danse
aime-moi-si-tu-peux--fary-13543,BROU / HAMON / QUIMBERT,World
soviet-suprem-127922,SOVIET SUPREM,Scène Française
poumon-166179,POUMON,Electro
requiem-de-mozart-roberto-gonzalez-monjas-207243,REQUIEM DE MOZART (Roberto González Monjas),Classique
alex-ramires-86954,ALEX RAMIRES,Humour
botibol-60795,BOTIBOL,Scène Française
supreme-ntm-1704,SUPREME NTM,Hip-Hop/Rap/R'n'B
chamber-orchestra-of-europe-55840,CHAMBER ORCHESTRA OF EUROPE,Classique
shym-43037,SHY'M,Variété Française
she-past-away-136990,SHE PAST AWAY,Scène Française
titouan-165078,TITOUAN,Hip-Hop/Rap/R'n'B
the-cure-11774,THE CURE,Rock
ma-vie-encore-plus-revee-6412,JMPZ,Electro
salvatore-caputo-180206,SALVATORE CAPUTO,Classique
boy-harsher-169255,BOY HARSHER,Electro
junior-felip-44447,JUNIOR FELIP,Dj
papooz-102297,PAPOOZ,Scène Française
luxie-203149,LUXIE,Rock
vaudou-game-135052,VAUDOU GAME,Soul/Funk/Groove
une-vie-sur-mesure-114417,UNE VIE SUR MESURE,Spectacle Musical
michel-dalberto-53402,MICHEL DALBERTO,Classique
studio-attitude-show-191503,STUDIO ATTITUDE SHOW,Danse
ladies-ballbreaker-142273,LADIES BALLBREAKER,Métal/Hard-Rock
julien-santini-133206,JULIEN SANTINI,Humour
redouanne-harjane-85817,REDOUANNE HARJANE,Humour
chantal-ladesou-70214,CHANTAL LADESOU,Humour
legends-of-rock-155333,LEGENDS OF ROCK,Spectacle Musical
despres-158090,DESPRES,Electro
christine-and-the-queens-99188,CHRISTINE AND THE QUEENS,Scène Française
kaamelott---premier-volet-205759,KAAMELOTT - PREMIER VOLET,Ciné-concert
marc-rebillet-174814,MARC REBILLET,Electro
emilie-marsh-38664,EMILIE MARSH,Scène Française
tolvy-187099,TOLVY,Electro
guihome-vous-detend-142854,GUIHOME VOUS DETEND,Humour
alice-russell-31906,ALICE RUSSELL,Soul/Funk/Groove
eric-emmanuel-schmitt-167807,ERIC EMMANUEL SCHMITT,Spectacle/évènement
binarysound-150840,BINARYSOUND,Dj
ballake-sissoko-12649,BALLAKE SISSOKO,World
iguana-death-cult-183592,IGUANA DEATH CULT,Rock
detroit-swindle-136201,DETROIT SWINDLE,Electro
nikolai-lugansky-53884,NIKOLAI LUGANSKY,Classique
on-nest-pas-la-pour-vendre-des-cravates-363,SARA LAZARUS,Jazz / Blues
ought-132492,OUGHT,Rock
brain-damage-10958,BRAIN DAMAGE,Electro
philippe-gaubert-53929,PHILIPPE GAUBERT,Jazz / Blues
structures-171244,STRUCTURES,Scène Française
holiday-on-ice-avec-aurore-211171,HOLIDAY ON ICE AVEC AURORE,Spectacle Musical
evergreen-400,EVERGREEN,Jazz / Blues
seeds-of-mary-154316,SEEDS OF MARY,Scène Française
on-mappelle-marseille-12464,MICHEL ZENINO,Jazz / Blues
sharon-eyal-220641,SHARON EYAL,Danse
fumiya-tanaka-3156,FUMIYA TANAKA,Electro
stromae-84291,STROMAE,Variété Française
flanagan-168384,FLANAGAN,Rock
felicien-brut-172202,FELICIEN BRUT,Classique
leila-ka-206881,LEILA KA,Danse
leon-vynehall-120074,LEON VYNEHALL,Dj
tout-est-dans-la-voix-13573,CATIA WERNECK,World
