event_type,city,venue_id,start_date,artist_id,artist_name
Concert,Bordeaux,chapiteau-a-bordeaux-51917,2025-01-10T19:30:00,la-tournee-anniversaire-cirque-arlette-gruss-235591,LA TOURNEE ANNIVERSAIRE (Cirque Arlette Gruss)
Concert,Bordeaux,limpromptu-a-bordeaux-68893,2025-01-10T20:00:00,pascal-pistone-67699,PASCAL PISTONE
Concert,Bordeaux,theatre-femina-1324,2025-01-10T20:30:00,nuances-13961,NUANCES
Concert,Bordeaux,rock-school-barbey-3069,2025-01-10T20:30:00,irma-75840,IRMA
Concert,Merignac,le-pin-galant-7410,2025-01-10T20:30:00,klek-entos-207451,KLEK ENTOS
Concert,Arcachon,theatre-olympia-darcachon-7976,2025-01-10T20:30:00,cali-26941,CALI
Concert,Bordeaux,theatre-femina-1324,2025-01-11T20:00:00,the-musical-story-of-elvis-219007,THE MUSICAL STORY OF ELVIS
Concert,Bordeaux,theatre-casino-barriere-a-bordeaux-18073,2025-01-11T20:30:00,enrico-macias-142,ENRICO MACIAS
Concert,Bordeaux,theatre-femina-1324,2025-01-14T20:00:00,cali-26941,CALI
Concert,Bordeaux,theatre-moliere---scene-daquitaine-2936,2025-01-14T20:00:00,massacre-a-la-princesse-interdit-aux-enfants-217359,MASSACRE A LA PRINCESSE INTERDIT AUX ENFANTS
Concert,Floirac,arkea-arena---bordeaux-53144,2025-01-14T20:00:00,ninho-157754,NINHO
Concert,Bordeaux,chapiteau-a-bordeaux-51917,2025-01-15T14:30:00,la-tournee-anniversaire-cirque-arlette-gruss-235591,LA TOURNEE ANNIVERSAIRE (Cirque Arlette Gruss)
Concert,Floirac,arkea-arena---bordeaux-53144,2025-01-15T20:00:00,archetypes-13549,ARCHETYPES
Concert,Bordeaux,rock-school-barbey-3069,2025-01-15T20:30:00,slift-108795,SLIFT
Concert,Floirac,arkea-arena---bordeaux-53144,2025-01-16T20:00:00,gael-pilote-de-lillusion-228747,GAEL PILOTE DE L'ILLUSION
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2025-01-16T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Gujan Mestras,le-miroir-a-gujan-mestras-69669,2025-01-16T20:45:00,jeremy-frerot-110447,JEREMY FREROT
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2025-01-17T00:00:00,puggy-44869,PUGGY
Concert,Bordeaux,theatre-femina-1324,2025-01-17T20:00:00,fatigue-hakim-jemili-14313,FATIGUE (Hakim Jemili)
Concert,Villenave d'Ornon,le-cube-a-villenave-dornon-26473,2025-01-17T20:30:00,yolo-13729,YOLO
Concert,Gujan Mestras,le-miroir-a-gujan-mestras-69669,2025-01-17T20:45:00,jeremy-frerot-110447,JEREMY FREROT
Concert,Canejan,centre-simone-signoret-a-canejan-8339,2025-01-18T00:00:00,jacky-terrasson-182,JACKY TERRASSON
Concert,Bordeaux,chapiteau-a-bordeaux-51917,2025-01-18T14:00:00,la-tournee-anniversaire-cirque-arlette-gruss-235591,LA TOURNEE ANNIVERSAIRE (Cirque Arlette Gruss)
Concert,Bordeaux,limpromptu-a-bordeaux-68893,2025-01-18T19:00:00,pascal-pistone-67699,PASCAL PISTONE
Concert,Floirac,arkea-arena---bordeaux-53144,2025-01-18T20:00:00,sch-144892,SCH
